datetime,open,high,low,close,volumns
2022-03-19 00:00:00,2.127,2.225,2.126,2.215,35491215
2022-03-20 00:00:00,2.215,2.277,2.153,2.213,54353290.3
2022-03-21 00:00:00,2.213,2.445,2.144,2.347,123324968.7
2022-03-22 00:00:00,2.347,2.574,2.346,2.549,177804850.5
2022-03-23 00:00:00,2.55,2.586,2.436,2.499,97873861.8
2022-03-24 00:00:00,2.499,2.628,2.435,2.541,73134120.6
2022-03-25 00:00:00,2.542,2.577,2.423,2.505,77464351.7
2022-03-26 00:00:00,2.505,2.515,2.46,2.512,41299927.1
2022-03-27 00:00:00,2.512,2.675,2.482,2.669,71604911.2
2022-03-28 00:00:00,2.67,3.177,2.645,2.86,305589566.1
2022-03-29 00:00:00,2.86,2.97,2.765,2.894,135781324.6
2022-03-30 00:00:00,2.895,3.065,2.802,2.938,101892412.4
2022-03-31 00:00:00,2.938,3.022,2.729,2.828,85100783.4
2022-04-01 00:00:00,2.827,2.868,2.653,2.838,73639423.2
2022-04-02 00:00:00,2.837,2.939,2.762,2.787,49127632
2022-04-03 00:00:00,2.787,2.866,2.721,2.841,40247126.7
2022-04-04 00:00:00,2.842,2.944,2.71,2.89,126990727.6
2022-04-05 00:00:00,2.889,2.91,2.727,2.749,59940551.5
2022-04-06 00:00:00,2.75,2.759,2.411,2.425,87417625.6
2022-04-07 00:00:00,2.425,2.537,2.388,2.501,59221492.4
2022-04-08 00:00:00,2.502,2.522,2.343,2.377,68873905.5
2022-04-09 00:00:00,2.377,2.444,2.358,2.415,47578124.6
2022-04-10 00:00:00,2.415,2.482,2.353,2.36,53354785.7
2022-04-11 00:00:00,2.359,2.379,2.117,2.163,91196244.9
2022-04-12 00:00:00,2.162,2.252,2.151,2.242,51992544.3
2022-04-13 00:00:00,2.243,2.361,2.207,2.358,80380153.9
2022-04-14 00:00:00,2.358,2.37,2.239,2.306,68478321.3
2022-04-15 00:00:00,2.307,2.441,2.29,2.419,94814819
2022-04-16 00:00:00,2.418,2.642,2.401,2.608,151832717.3
2022-04-17 00:00:00,2.608,2.685,2.387,2.415,192758009.1
2022-04-18 00:00:00,2.415,2.458,2.294,2.443,122241453
2022-04-19 00:00:00,2.444,2.698,2.417,2.645,128760548
2022-04-20 00:00:00,2.646,2.888,2.518,2.764,256024181.5
2022-04-21 00:00:00,2.763,2.86,2.444,2.503,215758284.9
2022-04-22 00:00:00,2.503,2.555,2.432,2.456,102178003.4
2022-04-23 00:00:00,2.456,2.487,2.376,2.403,62039770.1
2022-04-24 00:00:00,2.403,2.448,2.334,2.349,52833185.1
